epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,5463.83,1.27863,1.60235,0.93088,0.23697,0.41717,0.25347,0.14101,1.46216,2.21095,1.00259,0.002905,0.002905,0.002905
45,5574.21,1.3264,1.59095,0.95758,0.22702,0.40849,0.20572,0.11882,1.36998,2.18499,0.97642,0.00274,0.00274,0.00274
46,5678.09,1.27272,1.60896,0.94768,0.34236,0.5245,0.40538,0.22082,1.43045,1.678,0.98785,0.002575,0.002575,0.002575
47,5780.62,1.26121,1.53944,0.93342,0.26439,0.52749,0.34762,0.20788,1.27342,1.85176,0.95164,0.00241,0.00241,0.00241
48,5895.38,1.24147,1.56299,0.93164,0.17149,0.29544,0.18017,0.08775,1.63166,2.41836,1.03342,0.002245,0.002245,0.002245
49,6032,1.26117,1.59211,0.93871,0.3285,0.51247,0.39774,0.23955,1.25571,1.73208,0.95217,0.00208,0.00208,0.00208
50,6169.87,1.21487,1.48498,0.9206,0.26004,0.45068,0.3131,0.16887,1.41362,1.92797,0.98937,0.001915,0.001915,0.001915
51,6312.38,1.23266,1.52319,0.92715,0.32277,0.59048,0.43876,0.27167,1.22978,1.63568,0.9427,0.00175,0.00175,0.00175
52,6415.92,1.23859,1.5576,0.94072,0.34876,0.49832,0.34637,0.19129,1.42184,1.86284,0.99321,0.001585,0.001585,0.001585
53,6522.16,1.23719,1.55674,0.93468,0.24395,0.47883,0.27929,0.15396,1.42561,1.97125,0.98344,0.00142,0.00142,0.00142
54,6627.05,1.2289,1.51643,0.95054,0.32097,0.53057,0.38931,0.22685,1.24251,1.70734,0.94453,0.001255,0.001255,0.001255
55,6729.93,1.21592,1.46533,0.93606,0.28144,0.46498,0.32484,0.17791,1.42979,1.9116,0.99331,0.00109,0.00109,0.00109
56,6836.13,1.1808,1.45089,0.92142,0.30498,0.43845,0.31678,0.16296,1.40089,1.94274,0.97932,0.000925,0.000925,0.000925
57,6952.09,1.16816,1.43838,0.917,0.36482,0.54189,0.40838,0.24177,1.24576,1.65224,0.94425,0.00076,0.00076,0.00076
58,7063.37,1.16426,1.42949,0.92386,0.2796,0.50733,0.34215,0.20631,1.26826,1.80672,0.95193,0.000595,0.000595,0.000595
59,7177.62,1.19774,1.41552,0.92783,0.27876,0.4432,0.30041,0.16804,1.33327,1.92478,0.96522,0.00043,0.00043,0.00043
60,7290.15,1.16953,1.42753,0.92725,0.32361,0.45853,0.36681,0.21023,1.2794,1.74608,0.95403,0.000265,0.000265,0.000265
